No,Nama Barang,Satuan,Harga,Stok
194,Toples,Buah,15000,30
195,Plastik ID Card,Buah,5000,30
196,Box Container,Buah,125000,30
197,Gorden Jendela,Buah,90000,30
198,payung,buah,15000,30
199,box file,buah,125000,30
200,webcam,unit,150000,30
201,Cat,Kaleng,75000,30
202,Thiner,Kaleng,35000,30
203,Kuas Cat,Pcs,75000,30
204,Keran Set,Pcs,15000,30
205,Kantong Sampah,Pcs,15000,30
206,Tissu Kecil,Pcs,15000,30
207,Tisu Besar,Pcs,15000,30
208,Kantong Sampah Kecil,Pcs,15000,30
209,White Board Sedang,Buah,15000,30
210,BBM,Liter,15000,30
211,PERTAMAX,LITER,15000,30
212,Kit Ban,Botol,12000,30
213,Name Plates,Buah,15000,30
214,Pembatas Buku,Pasang,15000,30
215,Kaca Riben 5 mil,lembar,150000,30
216,motor,unit,150000,30
217,BRANKAS,UNIT,150000,30
218,televisi,unit,150000,30
219,infocus,unit,150000,30
